Title,URL,Tags,Date added,Accessibility score,Issues
"A, AA",22.74,4831,2024-08-14,7,28
"A, AA",13.89,1000,2024-08-13,2,1
"A, AA",23.53,410,2024-08-13,8,21
"A, AA",11.51,269,2024-08-12,2,102
"A, AA",12.94,369,2024-08-12,3,26
"A, AA",12,1040,2024-08-12,4,6
"A, AA",12.55,404,2024-08-11,3,10
"A, AA",12.48,1000,2024-08-11,3,98
"A, AA",12.63,1000,2024-08-11,4,0
"A, AA",13.64,8147,2024-08-11,5,0
"A, AA",14.8,7951,2024-08-11,8,318
"A, AA",14.28,1058,2024-08-11,5,0
"A, AA",14.97,435,2024-08-11,4,120
"A, AA",8.23,46,2024-08-10,2,1
"A, AA",4.85,4683,2024-08-10,3,105
"A, AA",8.28,922,2024-08-10,2,3
"A, AA",10.75,616,2024-08-10,3,9
"A, AA",10,33,2024-08-10,2,0
"A, AA",10.16,129,2024-08-10,3,62
"A, AA",11.97,373,2024-08-10,4,0
"A, AA",11.98,302,2024-08-10,4,62
"A, AA",13.68,190,2024-08-10,4,100
"A, AA",15.38,1629,2024-08-10,7,1
"A, AA",14.98,1210,2024-08-10,5,3544
"A, AA",16.67,60,2024-08-10,7,34
"A, AA",13.24,191,2024-08-10,5,8
"A, AA",16.04,127,2024-08-10,8,22
"A, AA",8.5,74,2024-08-09,2,3
"A, AA",9.51,21,2024-08-09,1,0
"A, AA",8.43,1640,2024-08-09,2,765
"A, AA",10.4,392,2024-08-09,3,18
"A, AA",10.94,105,2024-08-09,2,129
"A, AA",4.32,5914,2024-08-09,3,144
"A, AA",10.43,351,2024-08-09,3,116
"A, AA",8.78,70,2024-08-09,3,6
"A, AA",11.54,129,2024-08-09,3,0
"A, AA",8.62,673,2024-08-09,3,3
"A, AA",9.87,119,2024-08-09,3,81
"A, AA",11.59,1267,2024-08-09,3,8
"A, AA",10.33,137,2024-08-09,2,8
"A, AA",6.93,47,2024-08-08,2,0
"A, AA",7.24,92,2024-08-08,2,0
"A, AA",5.33,70,2024-08-08,2,0
"A, AA",8.28,52,2024-08-08,2,3
"A, AA",6.3,91,2024-08-08,2,49
"A, AA",9.27,8,2024-08-08,2,1
"A, AA",8.24,243,2024-08-08,2,0
"A, AA",6.3,44,2024-08-08,2,26
"A, AA",8.91,216,2024-08-08,3,29
"A, AA",8.99,35,2024-08-08,2,0
"A, AA",8.49,85,2024-08-08,2,0
"A, AA",9.31,116,2024-08-08,3,35
"A, AA",5.24,4138,2024-08-08,2,51
"A, AA",9.43,91,2024-08-08,3,0
"A, AA",10.09,27,2024-08-08,3,1
"A, AA",8.59,596,2024-08-08,3,25
"A, AA",8.55,182,2024-08-08,3,75
"A, AA",9.09,135,2024-08-08,3,137
"A, AA",10.08,7,2024-08-08,3,0
"A, AA",8.04,32,2024-08-08,1,1
"A, AA",9.3,147,2024-08-08,3,0
"A, AA",9.59,563,2024-08-08,5,56
"A, AA",10.97,32,2024-08-08,3,51
"A, AA",9.06,5333,2024-08-08,4,126
"A, AA",10.14,416,2024-08-08,3,0
"A, AA",10.22,29,2024-08-08,3,0
"A, AA",7.8,970,2024-08-08,3,0
"A, AA",13.47,130,2024-08-08,3,73
"A, AA",12.04,118,2024-08-08,4,0
"A, AA",14.66,87,2024-08-08,7,64
"A, AA",18.89,123,2024-08-08,7,0
"A, AA",4.36,248,2024-08-07,1,7
"A, AA",7.77,12,2024-08-07,2,0
"A, AA",7.35,63,2024-08-07,3,12
"A, AA",6.88,15,2024-08-07,2,0
"A, AA",6.83,34,2024-08-07,3,2
"A, AA",8.14,24,2024-08-07,1,0
"A, AA",7.47,59,2024-08-07,2,7
"A, AA",8.62,110,2024-08-07,2,0
"A, AA",7.23,13,2024-08-07,2,0
"A, AA",5.47,35,2024-08-07,2,2
"A, AA",6.89,199,2024-08-07,3,96
"A, AA",8.7,51,2024-08-07,3,0
"A, AA",9.05,3,2024-08-07,2,0
"A, AA",6.33,279,2024-08-07,3,0
"A, AA",5.71,554,2024-08-07,3,23
"A, AA",6.31,129,2024-08-07,3,19
"A, AA",7.82,26,2024-08-07,3,0
"A, AA",8.82,3,2024-08-07,2,0
"A, AA",9.35,58,2024-08-07,3,67
"A, AA",5.97,2820,2024-08-07,5,4
"A, AA",7.58,19,2024-08-07,2,0
"A, AA",8.75,13,2024-08-07,3,0
"A, AA",9.14,115,2024-08-07,2,2
"A, AA",10.42,1328,2024-08-07,4,0
"A, AA",8.67,86,2024-08-07,3,5
"A, AA",8.84,118,2024-08-07,2,29
"A, AA",8.44,32,2024-08-07,3,0
"A, AA",9.55,82,2024-08-07,2,0
"A, AA",9.21,10800,2024-08-07,3,117
"A, AA",10.86,213,2024-08-07,4,0
"A, AA",14.47,102,2024-08-07,7,4
"A, AA",11.22,141,2024-08-07,3,0
"A, AA",15.82,83,2024-08-07,6,11
"A, AA",12.86,532,2024-08-07,6,73
"A, AA",No target,39,2024-08-07,6,0
"A, AA",4.17,304,2024-08-06,2,4
"A, AA",4.06,333,2024-08-06,3,0
"A, AA",6.97,8,2024-08-06,2,19
"A, AA",5.94,46,2024-08-06,1,0
"A, AA",5.58,108,2024-08-06,3,0
"A, AA",7.72,9,2024-08-06,2,0
"A, AA",6.19,54,2024-08-06,2,1
"A, AA",5.98,93,2024-08-06,3,2
"A, AA",6.67,114,2024-08-06,2,4
"A, AA",7,17,2024-08-06,2,0
"A, AA",5.15,83,2024-08-06,3,2
"A, AA",7.29,7,2024-08-06,3,0
"A, AA",6.85,173,2024-08-06,3,0
"A, AA",4.34,258,2024-08-06,2,0
"A, AA",6.44,130,2024-08-06,2,0
"A, AA",5.64,198,2024-08-06,3,22
"A, AA",6.46,16,2024-08-06,2,0
"A, AA",7.37,30,2024-08-06,2,3
"A, AA",5.7,572,2024-08-06,3,0
"A, AA",4.92,597,2024-08-06,2,13
"A, AA",5.84,293,2024-08-06,3,69
"A, AA",8.66,54,2024-08-06,1,0
"A, AA",3.98,7606,2024-08-06,2,15
"A, AA",7.77,114,2024-08-06,3,0
"A, AA",8.7,504,2024-08-06,2,0
"A, AA",6.76,140,2024-08-06,2,0
"A, AA",9.76,28,2024-08-06,3,26
"A, AA",7.13,159,2024-08-06,3,0
"A, AA",6.27,438,2024-08-06,4,0
"A, AA",10.33,1612,2024-08-06,7,25
"A, AA",5.73,243,2024-08-06,3,0
"A, AA",9.27,54,2024-08-06,3,0
"A, AA",5.81,155,2024-08-06,2,100
"A, AA",7.43,2021,2024-08-06,3,17
"A, AA",11.26,2120,2024-08-06,7,227
"A, AA",10.03,997,2024-08-06,3,44
"A, AA",10.34,100,2024-08-06,4,0
"A, AA",14.26,88,2024-08-06,8,15
"A, AA",14.96,14,2024-08-06,8,15
"A, AA",3.97,41,2024-08-05,2,5
"A, AA",2.49,30,2024-08-05,0,0
"A, AA",6.17,12,2024-08-05,2,0
"A, AA",5.87,8,2024-08-05,2,0
"A, AA",4.97,13,2024-08-05,2,8
"A, AA",3.54,49,2024-08-05,2,0
"A, AA",1.85,84,2024-08-05,1,0
"A, AA",6.05,7,2024-08-05,3,0
"A, AA",5.9,17,2024-08-05,3,0
"A, AA",3.78,162,2024-08-05,2,42
"A, AA",2.03,502,2024-08-05,2,4
"A, AA",6.65,8,2024-08-05,2,0
"A, AA",4.74,71,2024-08-05,2,0
"A, AA",3.96,28,2024-08-05,1,0
"A, AA",6.62,6,2024-08-05,2,0
"A, AA",5.56,11,2024-08-05,2,0
"A, AA",4.83,39,2024-08-05,2,13
"A, AA",7.51,21,2024-08-05,3,0
"A, AA",6.11,78,2024-08-05,2,0
"A, AA",5.56,89,2024-08-05,3,0
"A, AA",4.55,159,2024-08-05,0,0
"A, AA",6.45,127,2024-08-05,3,0
"A, AA",8.18,1000,2024-08-05,3,0
"A, AA",5.17,15,2024-08-05,2,9
"A, AA",6.06,7,2024-08-05,2,0
"A, AA",5.77,12,2024-08-05,3,1
"A, AA",6.65,10,2024-08-05,2,0
"A, AA",6.76,23,2024-08-05,1,0
"A, AA",5.14,199,2024-08-05,1,0
"A, AA",7.26,8,2024-08-05,2,0
"A, AA",7.63,17,2024-08-05,2,0
"A, AA",2.82,289,2024-08-05,1,36
"A, AA",5.47,6,2024-08-05,2,0
"A, AA",3.4,293,2024-08-05,3,154
"A, AA",7.85,7,2024-08-05,4,35
"A, AA",8,11,2024-08-05,3,2
"A, AA",8.58,13,2024-08-05,3,0
"A, AA",4.95,671,2024-08-05,1,0
"A, AA",8.28,7,2024-08-05,3,10
"A, AA",7.19,28,2024-08-05,2,43
"A, AA",5.08,155,2024-08-05,2,0
"A, AA",5.61,262,2024-08-05,4,0
"A, AA",5.81,157,2024-08-05,2,0
"A, AA",4.38,55,2024-08-05,2,0
"A, AA",5.25,360,2024-08-05,3,2
"A, AA",4.73,474,2024-08-05,2,60
"A, AA",6.99,872,2024-08-05,2,18
"A, AA",4.11,770,2024-08-05,3,313
"A, AA",6.76,71,2024-08-05,3,12
"A, AA",5.22,30,2024-08-05,2,0
"A, AA",8.24,463,2024-08-05,2,17
"A, AA",6.11,351,2024-08-05,3,0
"A, AA",9.43,59,2024-08-05,4,0
"A, AA",8.57,335,2024-08-05,1,0
"A, AA",4.75,201,2024-08-05,2,0
"A, AA",8.54,47,2024-08-05,5,0
"A, AA",8.36,24,2024-08-05,2,48
"A, AA",7.93,58,2024-08-05,2,0
"A, AA",7.23,36,2024-08-05,3,0
"A, AA",5.91,300,2024-08-05,2,60
"A, AA",4.19,419,2024-08-05,2,141
"A, AA",8.91,7,2024-08-05,2,48
"A, AA",12.1,23,2024-08-05,6,4
"A, AA",10.64,149,2024-08-05,5,485
"A, AA",7.69,76,2024-08-05,2,2
"A, AA",9.43,278,2024-08-05,3,0
"A, AA",7.08,117,2024-08-05,4,0
"A, AA",13.47,31,2024-08-05,7,0
"A, AA",12.79,38,2024-08-05,7,0
"A, AA",10.94,9,2024-08-05,4,34
"A, AA",6.97,2848,2024-08-05,4,58
"A, AA",14.36,7,2024-08-05,7,0
"A, AA",4.37,4,2024-08-04,2,0
"A, AA",3.25,0,2024-08-04,1,0
"A, AA",4.32,13,2024-08-04,2,0
"A, AA",4.37,1,2024-08-04,1,19
"A, AA",4.85,8,2024-08-04,2,0
"A, AA",3.45,170,2024-08-04,1,0
"A, AA",4.95,8,2024-08-04,2,0
"A, AA",5.09,7,2024-08-04,2,0
"A, AA",5.67,15,2024-08-04,2,0
"A, AA",3.1,91,2024-08-04,2,3
"A, AA",2.72,127,2024-08-04,1,15
"A, AA",3.05,228,2024-08-04,2,3
"A, AA",1.65,756,2024-08-04,1,72
"A, AA",6.1,5,2024-08-04,2,0
"A, AA",2.72,18,2024-08-04,1,0
"A, AA",3.3,42,2024-08-04,2,0
"A, AA",3.29,94,2024-08-04,1,62
"A, AA",5.97,142,2024-08-04,2,0
"A, AA",3.81,70,2024-08-04,2,0
"A, AA",3.3,113,2024-08-04,2,4
"A, AA",3.74,57,2024-08-04,1,0
"A, AA",3.36,192,2024-08-04,1,0
"A, AA",3.43,50,2024-08-04,2,0
"A, AA",5.1,9,2024-08-04,2,0
"A, AA",3.72,90,2024-08-04,2,5
"A, AA",3.55,147,2024-08-04,3,13
"A, AA",5.54,3,2024-08-04,1,0
"A, AA",3.95,53,2024-08-04,1,2
"A, AA",4.33,197,2024-08-04,2,3
"A, AA",3.84,214,2024-08-04,1,49
"A, AA",3.53,70,2024-08-04,3,111
"A, AA",3.35,169,2024-08-04,1,2
"A, AA",3.12,8,2024-08-04,2,0
"A, AA",6.2,19,2024-08-04,2,5
"A, AA",6.02,15,2024-08-04,3,0
"A, AA",4.46,214,2024-08-04,3,28
"A, AA",4.73,169,2024-08-04,2,40
"A, AA",3.8,21,2024-08-04,2,0
"A, AA",4.49,206,2024-08-04,3,0
"A, AA",2.16,97,2024-08-04,2,3
"A, AA",1.77,332,2024-08-04,2,4
"A, AA",4.29,293,2024-08-04,2,2
"A, AA",1.84,352,2024-08-04,1,0
"A, AA",4.04,78,2024-08-04,1,0
"A, AA",5.12,87,2024-08-04,3,1
"A, AA",3.37,40,2024-08-04,2,0
"A, AA",3.85,98,2024-08-04,1,0
"A, AA",4.51,22,2024-08-04,1,6
"A, AA",5.3,396,2024-08-04,3,3
"A, AA",4.33,134,2024-08-04,1,0
"A, AA",8.35,6,2024-08-04,2,0
"A, AA",4.89,141,2024-08-04,3,2
"A, AA",7.1,107,2024-08-04,3,0
"A, AA",6.26,44,2024-08-04,3,0
"A, AA",4.82,22,2024-08-04,2,3
"A, AA",7.01,38,2024-08-04,3,3
"A, AA",9.68,12,2024-08-04,6,0
"A, AA",4.76,190,2024-08-04,2,0
"A, AA",6.66,26,2024-08-04,3,0
"A, AA",5.41,6,2024-08-04,2,0
"A, AA",7.44,16,2024-08-04,3,0
"A, AA",3.34,702,2024-08-04,2,0
"A, AA",6.66,32,2024-08-04,2,0
"A, AA",5.17,52,2024-08-04,2,0
"A, AA",0.71,1458,2024-08-04,3,518
"A, AA",5.52,1381,2024-08-04,4,397
"A, AA",5.81,33,2024-08-04,3,1
"A, AA",5.64,100,2024-08-04,3,0
"A, AA",3.6,628,2024-08-04,2,4
"A, AA",3.23,189,2024-08-04,2,0
"A, AA",5.46,344,2024-08-04,3,25
"A, AA",7.46,150,2024-08-04,4,12
"A, AA",10.89,11,2024-08-04,6,1
"A, AA",4.14,652,2024-08-04,3,27
"A, AA",9.54,68,2024-08-04,6,0
"A, AA",7.04,38,2024-08-04,3,1
"A, AA",10.88,10,2024-08-04,6,0
"A, AA",12.66,6,2024-08-04,6,0
"A, AA",6.65,1985,2024-08-04,3,5
"A, AA",10.04,1177,2024-08-04,7,0
"A, AA",12.44,114,2024-08-04,7,1
"A, AA",2.95,3,2024-08-03,1,0
"A, AA",1.35,34,2024-08-03,1,0
"A, AA",2.07,24,2024-08-03,1,0
"A, AA",4.66,1,2024-08-03,0,0
"A, AA",1.26,26,2024-08-03,1,0
"A, AA",3.14,7,2024-08-03,1,0
"A, AA",4.08,6,2024-08-03,2,0
"A, AA",1.2,15,2024-08-03,0,0
"A, AA",1.87,10,2024-08-03,0,0
"A, AA",2.21,95,2024-08-03,1,0
"A, AA",2.18,26,2024-08-03,1,0
"A, AA",2.25,33,2024-08-03,1,0
"A, AA",3.25,10,2024-08-03,1,2
"A, AA",4.26,5,2024-08-03,2,0
"A, AA",2.37,43,2024-08-03,1,0
"A, AA",1.87,195,2024-08-03,1,0
"A, AA",3.66,33,2024-08-03,1,1
"A, AA",3.95,8,2024-08-03,2,0
"A, AA",3.97,65,2024-08-03,2,0
"A, AA",4.94,32,2024-08-03,1,0
"A, AA",3.63,27,2024-08-03,2,0
"A, AA",2.71,73,2024-08-03,2,0
"A, AA",4.34,9,2024-08-03,2,2
"A, AA",5.46,4,2024-08-03,2,0
"A, AA",2.19,99,2024-08-03,1,0
"A, AA",2.9,82,2024-08-03,1,0
"A, AA",3.68,13,2024-08-03,2,0
"A, AA",2.97,34,2024-08-03,1,1
"A, AA",5,11,2024-08-03,1,0
"A, AA",2.37,125,2024-08-03,1,0
"A, AA",5.13,9,2024-08-03,1,0
"A, AA",2.95,96,2024-08-03,1,0
"A, AA",3.01,2211,2024-08-03,1,15
"A, AA",3.91,156,2024-08-03,2,0
"A, AA",3.66,7,2024-08-03,0,13
"A, AA",4.83,16,2024-08-03,2,0
"A, AA",2.22,109,2024-08-03,1,0
"A, AA",4.01,15,2024-08-03,2,0
"A, AA",3.99,3,2024-08-03,2,0
"A, AA",4.02,56,2024-08-03,2,1
"A, AA",2.91,60,2024-08-03,1,7
"A, AA",3.7,9,2024-08-03,2,0
"A, AA",3.57,91,2024-08-03,2,0
"A, AA",6.06,1,2024-08-03,2,0
"A, AA",3.62,47,2024-08-03,2,0
"A, AA",5.57,31,2024-08-03,3,0
"A, AA",4.22,73,2024-08-03,2,16
"A, AA",5.33,35,2024-08-03,2,6
"A, AA",4.45,2,2024-08-03,1,0
"A, AA",5,12,2024-08-03,3,12
"A, AA",1.78,309,2024-08-03,1,0
"A, AA",5.5,8,2024-08-03,2,0
"A, AA",5,9,2024-08-03,3,9
"A, AA",1.95,356,2024-08-03,1,1
"A, AA",4.18,10,2024-08-03,1,0
"A, AA",2.18,453,2024-08-03,2,1
"A, AA",5.59,114,2024-08-03,2,0
"A, AA",5.96,7,2024-08-03,4,0
"A, AA",1.71,578,2024-08-03,2,0
